RSN,rank,4096,128,135.1,0.42,2097152
RSN,bit_Rank,4096,128,2086.5,11.05,131072
RSN,select,4096,128,197548.9,1387.43,2048
RSN,bit_select,4096,128,287061.6,911.82,1024

RSN,rank,8192,256,272.9,0.94,1048576
RSN,bit_Rank,8192,256,7503.0,21.44,65536
RSN,select,8192,256,3384187.1,14245.11,128
RSN,bit_select,8192,256,1196218.5,2446.53,256

RSN,rank,16384,512,538.1,1.05,524288
RSN,bit_Rank,16384,512,25283.1,73.77,16384
RSN,select,16384,512,17840001.3,1017399.90,16
RSN,bit_select,16384,512,4674100.0,44013.27,64

RSN,rank,32768,1024,1069.1,4.46,262144
RSN,bit_Rank,32768,1024,91501.6,96.55,4096
RSN,select,32768,1024,87335927.5,156118.22,4
RSN,bit_select,32768,1024,18634173.1,39229.86,16

RSN,rank,65536,2048,2229.9,6.75,131072
RSN,bit_Rank,65536,2048,347103.3,1272.29,1024
RSN,select,65536,2048,371039830.0,766804.57,2
RSN,bit_select,65536,2048,80240575.0,503826.19,4

RSN,rank,131072,4096,157951370.0,1883463.94,2
RSN,bit_Rank,131072,4096,1293370.2,2187.81,256
RSN,select,131072,4096,1443316745.0,846316.35,2
RSN,bit_select,131072,4096,353164320.0,1349779.27,2

RSN,rank,262144,8192,8926.0,32.87,32768
RSN,bit_Rank,262144,8192,5124845.3,24212.95,64
RSN,select,262144,8192,5819614480.0,42245882.74,2
RSN,bit_select,262144,8192,1524493065.0,26815586.01,2
RSL,rank,262144,8192,4884.0,16.81,65536
RSL,select,262144,8192,561242.9,4891.51,512
RSSE,rank,1,262144,8192,175455.3,440.49,2048
RSSE,select,1,262144,8192,432815.8,1277.76,1024
RSSE,rank,2,262144,8192,233783.9,682.19,2048
RSSE,select,2,262144,8192,544320.3,780.42,512
RSSE,rank,3,262144,8192,313856.6,834.48,1024
RSSE,select,3,262144,8192,626549.7,2344.04,512
RSSE,rank,4,262144,8192,308982.1,2633.46,1024
RSSE,select,4,262144,8192,735273.8,2754.84,512
RSSE,rank,5,262144,8192,399615.9,27753.97,1024
RSSE,select,5,262144,8192,847110.8,4724.43,512
RSSE,rank,6,262144,8192,410290.7,1631.02,1024
RSSE,select,6,262144,8192,971168.5,1625.10,512
RSSE,rank,7,262144,8192,449883.2,994.97,1024
RSSE,select,7,262144,8192,1070157.5,2815.07,256
RSSE,rank,8,262144,8192,441678.4,880.90,1024
RSSE,select,8,262144,8192,1180921.6,3299.99,256
RSSE,rank,9,262144,8192,515469.6,1654.44,512
RSSE,select,9,262144,8192,1623646.1,183079.97,256
RSSE,rank,10,262144,8192,741505.7,44428.20,512
RSSE,select,10,262144,8192,1678030.0,145258.62,256

RSN,rank,524288,16384,17818.1,41.52,16384
RSN,bit_Rank,524288,16384,20368371.9,223215.87,16
RSN,select,524288,16384,23001800750.0,124626520.71,2
RSN,bit_select,524288,16384,6222337775.0,146901589.86,2
RSL,rank,524288,16384,9706.5,26.39,32768
RSL,select,524288,16384,1229686.3,2811.48,256
RSSE,rank,1,524288,16384,353887.4,387.08,1024
RSSE,select,1,524288,16384,933852.1,1203.67,512
RSSE,rank,2,524288,16384,474901.5,868.38,1024
RSSE,select,2,524288,16384,1060619.1,1236.34,256
RSSE,rank,3,524288,16384,641716.5,2846.89,512
RSSE,select,3,524288,16384,1280295.5,1355.97,256
RSSE,rank,4,524288,16384,629331.1,412.84,512
RSSE,select,4,524288,16384,1513526.1,1712.20,256
RSSE,rank,5,524288,16384,784514.7,549.69,512
RSSE,select,5,524288,16384,1728548.2,1403.51,256
RSSE,rank,6,524288,16384,846613.0,1897.31,512
RSSE,select,6,524288,16384,1967696.7,2820.64,128
RSSE,rank,7,524288,16384,931221.6,1840.42,512
RSSE,select,7,524288,16384,2171958.6,3124.43,128
RSSE,rank,8,524288,16384,916088.3,2025.27,512
RSSE,select,8,524288,16384,2406249.0,2708.63,128
RSSE,rank,9,524288,16384,1067768.8,881.19,256
RSSE,select,9,524288,16384,2631259.3,2131.04,128
RSSE,rank,10,524288,16384,1141143.0,2738.71,256
RSSE,select,10,524288,16384,2842116.7,4789.28,128

RSN,rank,1048576,32768,35531.2,72.96,8192
RSN,bit_Rank,1048576,32768,81724112.5,322751.05,4
RSN,select,1048576,32768,92868284390.0,205673728.85,2
RSN,bit_select,1048576,32768,25333996550.0,488001786.00,2
RSL,rank,1048576,32768,23430.1,1434.82,16384
RSL,select,1048576,32768,3349180.9,250636.83,128
RSSE,rank,1,1048576,32768,731071.8,22693.17,512
RSSE,select,1,1048576,32768,2035801.1,133374.15,128
RSSE,rank,2,1048576,32768,954404.5,3080.07,512
RSSE,select,2,1048576,32768,2157185.5,108383.53,128
RSSE,rank,3,1048576,32768,1281256.1,7054.30,256
RSSE,select,3,1048576,32768,2551483.0,8130.39,128
RSSE,rank,4,1048576,32768,1239037.0,2358.67,256
RSSE,select,4,1048576,32768,3023604.4,9942.89,128
RSSE,rank,5,1048576,32768,1562357.4,3659.31,256
RSSE,select,5,1048576,32768,3466063.8,6228.23,128
RSSE,rank,6,1048576,32768,1692373.6,2426.85,256
RSSE,select,6,1048576,32768,3904685.0,3364.14,128
RSSE,rank,7,1048576,32768,1853554.5,5454.56,256
RSSE,select,7,1048576,32768,4324780.5,5444.48,64
RSSE,rank,8,1048576,32768,1806576.9,1767.58,256
RSSE,select,8,1048576,32768,4795394.1,12957.07,64
RSSE,rank,9,1048576,32768,2134374.7,4169.06,128
RSSE,select,9,1048576,32768,5187515.3,10020.23,64
RSSE,rank,10,1048576,32768,2268096.3,1394.98,128
RSSE,select,10,1048576,32768,5686417.5,8735.51,64

RSN,rank,2097152,65536,71145.7,241.53,4096
RSN,bit_Rank,2097152,65536,323670775.0,3642299.55,2
RSN,select,2097152,65536,369120989970.0,3156357498.29,2
RSN,bit_select,2097152,65536,101739219520.0,1477688490.76,2
RSL,rank,2097152,65536,38791.2,44.73,8192
RSL,select,2097152,65536,6055503.3,14981.38,64
RSSE,rank,1,2097152,65536,1368478.3,3610.50,256
RSSE,select,1,2097152,65536,3957642.8,4462.06,64
RSSE,rank,2,2097152,65536,1948517.5,3620.55,256
RSSE,select,2,2097152,65536,4494461.7,2366.38,64
RSSE,rank,3,2097152,65536,2613158.4,6636.10,128
RSSE,select,3,2097152,65536,5271373.9,6071.48,64
RSSE,rank,4,2097152,65536,2536975.6,1099.61,128
RSSE,select,4,2097152,65536,6195074.4,8779.58,64
RSSE,rank,5,2097152,65536,3182296.6,7210.98,128
RSSE,select,5,2097152,65536,7118180.3,6265.01,64
RSSE,rank,6,2097152,65536,3408555.2,4833.77,128
RSSE,select,6,2097152,65536,7997693.8,2630.33,32
RSSE,rank,7,2097152,65536,3760227.9,7041.42,128
RSSE,select,7,2097152,65536,8915598.1,4758.56,32
RSSE,rank,8,2097152,65536,3676977.6,5698.14,128
RSSE,select,8,2097152,65536,9795162.5,5436.05,32
RSSE,rank,9,2097152,65536,4315299.7,5976.89,64
RSSE,select,9,2097152,65536,10685205.3,13317.35,32
RSSE,rank,10,2097152,65536,4594833.6,5359.83,64
RSSE,select,10,2097152,65536,11521999.1,12935.55,32

RSN,rank,4194304,131072,142181.8,331.64,2048
RSN,bit_Rank,4194304,131072,1346799515.0,6416470.51,2
